head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Cholesterol Esters,chemicalentity_biologicalprocess,GO:0090398,-1.0430042743682861,-0.232143107153421,REJECT,Cholesterol Esters,cellular senescence,[],False,False,False,False,,,
Cholesterol Esters,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.311008483171463,-0.7050372264239742,ACCEPT,Cholesterol Esters,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7825, 'chemicalentity_noeffect_biologicalprocess': -1.2211, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6114, 'chemicalentity_promotes_biologicalprocess': -0.6778, 'chemicalentity_inhibits_biologicalprocess': -0.311, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6802}"
Cholesterol Esters,chemicalentity_biologicalprocess,GO:0008152,-2.1211905479431152,-0.232143107153421,REJECT,Cholesterol Esters,metabolic process,[],False,False,False,False,,,
Cholesterol Esters,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0008152,-1.3960022926330566,-0.5654679724376828,REJECT,Cholesterol Esters,metabolic process,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.4213, 'chemicalentity_noeffect_biologicalprocess': -2.3687, 'chemicalentity_notassociatedwith_biologicalprocess': -1.5641, 'chemicalentity_promotes_biologicalprocess': -1.7454, 'chemicalentity_inhibits_biologicalprocess': -1.6689, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.396}"
Cholesterol Esters,chemicalentity_biologicalprocess,GO:0009455,-0.9675569534301758,-0.232143107153421,REJECT,Cholesterol Esters,redox taxis,[],False,False,False,False,,,
Cholesterol Esters,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0009455,-0.8459011316299438,-0.5654679724376828,REJECT,Cholesterol Esters,redox taxis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.9481, 'chemicalentity_noeffect_biologicalprocess': -1.7446, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8994, 'chemicalentity_promotes_biologicalprocess': -1.4827, 'chemicalentity_inhibits_biologicalprocess': -1.2523, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.8459}"
Cholesterol Esters,chemicalentity_pathway,R-HSA-163685,-0.9873265027999878,-0.3200630854546729,REJECT,Cholesterol Esters,Integration of energy metabolism,[],False,False,False,False,,,
Cholesterol Esters,chemicalentity_pathway,R-HSA-9636667,-0.7233728170394897,-0.3200630854546729,REJECT,Cholesterol Esters,Manipulation of host energy metabolism,[],False,False,False,False,,,
Cholesterol Esters,chemicalentity_disease,C5681282,-0.9594876766204834,-0.5678040704453142,REJECT,Cholesterol Esters,Inborn disorder of energy metabolism,[],False,False,False,False,,,
Cholesterol Esters,chemicalentity_protein,D3VVE9,-1.0270276069641113,-0.3552259656009227,REJECT,Cholesterol Esters,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
Cholesterol Esters,chemicalentity_protein,Q5STF9,-0.6812461018562317,-0.3552259656009227,REJECT,Cholesterol Esters,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0090398,biologicalprocess_biologicalprocess,GO:0008152,-6.73734029987827e-05,-0.0422867482620858,ACCEPT,cellular senescence,metabolic process,[],False,False,False,False,,,
GO:0090398,biologicalprocess_biologicalprocess,GO:0009455,-0.02648276463150978,-0.0422867482620858,ACCEPT,cellular senescence,redox taxis,[],False,False,False,False,,,
GO:0090398,biologicalprocess_protein,D3VVE9,-0.1472664177417755,-0.4342587681103441,ACCEPT,cellular senescence,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
GO:0090398,biologicalprocess_protein,Q5STF9,-0.4640316069126129,-0.4342587681103441,REJECT,cellular senescence,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0008152,biologicalprocess_biologicalprocess,GO:0009455,-0.03206579387187958,-0.0422867482620858,ACCEPT,metabolic process,redox taxis,[],False,False,False,False,,,
